id,question 1,question 2,label
1,Có buộc phải lưu trữ sổ đăng ký cổ đông ở trụ sở công ty không?,Công ty cổ phần có bắt buộc có sổ đăng ký cổ đông không?,1
2,Có buộc phải lưu trữ sổ đăng ký cổ đông ở trụ sở công ty không?,Sổ đăng ký cổ đông của công ty cổ phần phải có các nội dung nào?,0
3,Có buộc phải lưu trữ sổ đăng ký cổ đông ở trụ sở công ty không?,Không lưu sổ đăng ký cổ đông công ty có bị phạt?,0
4,Có buộc phải lưu trữ sổ đăng ký cổ đông ở trụ sở công ty không?,Biển hiệu công ty có bắt buộc phải được đặt tại trụ sở công ty không?,0
5,Có buộc phải lưu trữ sổ đăng ký cổ đông ở trụ sở công ty không?,Có buộc phải lưu trữ sổ đăng ký cổ đông ở trụ sở công ty không?,1
6,Có buộc phải lưu trữ sổ đăng ký cổ đông ở trụ sở công ty không?,Lưu giữ sổ đăng ký thành viên tại chi nhánh công ty được không?,0
7,Ai quyết định chủ trương đầu tư về dự án đầu tư sử dụng vốn ODA?,Ai quyết định chủ trương đầu tư về dự án đầu tư sử dụng vốn ODA?,1
8,Ai quyết định chủ trương đầu tư về dự án đầu tư sử dụng vốn ODA?," Quyết định chủ trương đầu tư chương trình, dự án sử dụng vốn ODA, vốn vay ưu đãi là gì?",0
9," Quyết định chủ trương đầu tư chương trình, dự án sử dụng vốn ODA, vốn vay ưu đãi là gì?","Quyết định chủ trương đầu tư chương trình, dự án sử dụng vốn ODA, vốn vay ưu đãi",1
10,"Trình tự, thủ tục quyết định chủ trương đầu tư dự án sử dụng vốn ODA trong đầu tư công quy định thế nào?","Trình tự, thủ tục quyết định chủ trương đầu tư chương trình, dự án sử dụng vốn ODA",0
11,"Trình tự, thủ tục quyết định chủ trương đầu tư dự án sử dụng vốn ODA trong đầu tư công quy định thế nào?","Trình tự, thủ tục quyết định chủ trương đầu tư chương trình, dự án sử dụng vốn ODA và vốn vay ưu đãi của các nhà tài trợ nước ngoài",0
12,Ai quyết định chủ trương đầu tư về dự án đầu tư sử dụng vốn ODA?,Cơ quan nào sẽ quyết định chủ trương đầu tư dự án?,0
13,Ai quyết định chủ trương đầu tư về dự án đầu tư sử dụng vốn ODA?,Thẩm quyền quyết định chủ trương đầu tư dự án trong đầu tư công được quy định thế nào?,0
14,Trách nhiệm tổ chức họp xét duyệt dự thảo báo cáo kiểm toán thuộc về ai?,Trách nhiệm tổ chức họp xét duyệt dự thảo báo cáo kiểm toán thuộc về ai?,1
15,Trách nhiệm tổ chức họp xét duyệt dự thảo báo cáo kiểm toán thuộc về ai?,Dự thảo báo cáo kiểm toán hoàn thiện sau xét duyệt được gửi cho ai?,0
16,Trách nhiệm tổ chức họp xét duyệt dự thảo báo cáo kiểm toán thuộc về ai?,Việc tổ chức hội nghị để công bố quyết định kiểm toán được quy định như thế nào?,0
17,Trách nhiệm tổ chức họp xét duyệt dự thảo báo cáo kiểm toán thuộc về ai?,Xét duyệt dự thảo báo cáo kiểm toán của kiểm toán trưởng được quy định như thế nào?,0
18,Công chức xã xin thôi việc gửi đơn đến cơ quan nào?,Công chức xã xin thôi việc gửi đơn đến cơ quan nào?,1
19,Công chức xã xin thôi việc gửi đơn đến cơ quan nào?,Hỏi về công chức xin thôi việc,0
20,Công chức xã xin thôi việc gửi đơn đến cơ quan nào?, Công chức bị xử lý kỷ luật được làm đơn xin thôi việc?,0
21,Công chức xã xin thôi việc gửi đơn đến cơ quan nào?,Công chức cấp xã được hưởng chế độ thôi việc trong các trường hợp nào?,0
22,Công chức xã xin thôi việc gửi đơn đến cơ quan nào?,ông chức xin nghỉ việc được hưởng trợ cấp thôi việc không?,0
23,Chủ sở hữu chết có căn cứ để công ty giải thể không?,Chủ sở hữu chết có căn cứ để công ty giải thể không?,1
24,Chủ sở hữu chết có căn cứ để công ty giải thể không?,Doanh nghiệp giải thể tài sản dùng bảo đảm cho nghĩa vụ của doanh nghiệp xử lý như thế nào?,0
25,Chủ sở hữu chết có căn cứ để công ty giải thể không?,Hỏi về giải thể công ty,0
26,Chủ sở hữu chết có căn cứ để công ty giải thể không?,Có phải trả con dấu khi giải thể doanh nghiệp không?,0
27,Có phạt xe chở vật liệu quá tải cho công trình đang thi công?,Có phạt xe chở vật liệu quá tải cho công trình đang thi công?,1
28,Có phạt xe chở vật liệu quá tải cho công trình đang thi công?,Không tuân thủ sử dụng vật liệu xây dựng trong thi công công trình xây dựng bị phạt bao nhiêu?,0
29,Có phạt xe chở vật liệu quá tải cho công trình đang thi công?,Để vật liệu thi công ngoài phạm vi thi công bị xử lý ra sao?,0
30,Có phạt xe chở vật liệu quá tải cho công trình đang thi công?,"Mức phạt nếu tài xế ô tô chở hàng siêu trường, siêu trọng đi không đúng tuyến đường trong giấy phép?",0
31,Người lái xe có phải là người điều khiển giao thông hay không?,Người lái xe có phải là người điều khiển giao thông hay không?,1
32,Người lái xe có phải là người điều khiển giao thông hay không?,Người điều khiển giao thông là ai?,1
33,Người lái xe có phải là người điều khiển giao thông hay không?,Các phương tiện nào dùng để điều khiển giao thông đường bộ?,0
34,Người lái xe có phải là người điều khiển giao thông hay không?,Các phương tiện nào dùng để điều khiển giao thông đường bộ?,0
35,Người lái xe có phải là người điều khiển giao thông hay không?,Người điều khiển phương tiện giao thông đường bộ gồm những ai?,0
36,Người điều khiển giao thông là ai?,Người điều khiển phương tiện giao thông đường bộ gồm những ai?,1
37,Người lái xe tham gia giao thông cần đáp ứng những điều kiện gì?,Người lái xe cơ giới tham gia giao thông cần đáp ứng những điều kiện gì?,0
38,Cơ sở kinh doanh dịch vụ PCCC gồm những gì?,Cơ sở kinh doanh dịch vụ PCCC gồm những gì?,1
39,Cơ sở kinh doanh dịch vụ PCCC gồm những gì?,hồ sơ quản lý công tác PCCC của cơ sở,0
40,Cơ sở kinh doanh dịch vụ PCCC gồm những gì?,Điều kiện an toàn về phòng cháy và chữa cháy đối với cơ sở được quy định như thế nào?,0
41,Cơ sở kinh doanh dịch vụ PCCC gồm những gì?,Cơ sở kinh doanh dịch vụ Phòng cháy chữa cháy gồm những gì?,1
42,Cơ sở kinh doanh dịch vụ PCCC gồm những gì?, Những yêu cầu phòng cháy chữa cháy đối với cơ sở,0
43,Không ghi đầy đủ biển hiệu của trạm nạp khí vào phương tiện vận tải phạt bao nhiêu?,Không ghi đầy đủ biển hiệu của trạm nạp khí vào phương tiện vận tải phạt bao nhiêu?,1
